Name, Z, A, NEvents
####### Th232 decay chain ############
Th232, 90, 232, 10000000
Ra228, 88, 228, 10000000
Ac228, 89, 228, 10000000
Th228, 90, 228, 10000000
Ra224, 88, 224, 10000000
Rn220, 86, 220, 10000000
Po216, 84, 216, 10000000
Pb212, 82, 212, 10000000
Bi212, 83, 212, 10000000
Po212, 84, 212, 10000000
Tl208, 81, 208, 10000000
####### U238 decay chain #############
U238,  92, 238, 10000000
Th234, 90, 234, 10000000
#mPa234, 91 234 1 73.920  10000000 ##use seprate macro
U234,  92, 234, 10000000
Th230, 90, 230, 10000000
Ra226, 88, 226, 10000000
Rn222, 86, 222, 10000000
Po218, 84, 218, 10000000
Pb214, 82, 214, 10000000
Bi214, 83, 214, 10000000
Po214, 84, 214, 10000000
Tl210, 81, 210, 10000000
Pb210, 82, 210, 10000000
Bi210, 83, 210, 10000000
Po210, 84, 210, 10000000
Tl206, 81, 206, 10000000
##### Others ############
K40, 19, 40, 10000000
Cs137, 55, 137, 10000000
Co60, 27, 60, 10000000
