Name, Z, A, NEvents
####### Th232 decay chain ############
Th232, 90, 232, 4000000
Ra228, 88, 228, 4000000
Ac228, 89, 228, 4000000
Th228, 90, 228, 4000000
Ra224, 88, 224, 4000000
Rn220, 86, 220, 4000000
Po216, 84, 216, 4000000
Pb212, 82, 212, 4000000
Bi212, 83, 212, 4000000
Po212, 84, 212, 4000000
Tl208, 81, 208, 4000000
####### U238 decay chain #############
U238,  92, 238, 4000000
Th234, 90, 234, 4000000
#mPa234, 91 234 1 73.920  10000000 ##use seprate macro
U234,  92, 234, 4000000
Th230, 90, 230, 4000000
Ra226, 88, 226, 4000000
Rn222, 86, 222, 4000000
Po218, 84, 218, 4000000
Pb214, 82, 214, 4000000
Bi214, 83, 214, 4000000
Po214, 84, 214, 4000000
Tl210, 81, 210, 4000000
Pb210, 82, 210, 4000000
Bi210, 83, 210, 4000000
Po210, 84, 210, 4000000
Tl206, 81, 206, 4000000
######### U235 decay chain #############
U235, 92, 235, 4000000
Th231, 90, 231, 4000000
Pa231, 91, 231, 4000000
Ac227, 89, 227, 4000000
Th227, 90, 227, 4000000
Ra223, 88, 223, 4000000
Rn219, 86, 219, 4000000
Po215, 84, 215, 4000000
Pb211, 82, 211, 4000000
Bi211, 83, 211, 4000000
Tl207, 81, 207, 4000000
##### Others ############
K40, 19, 40, 4000000
Cs137, 55, 137, 4000000
Co60, 27, 60, 4000000
La138, 75, 138, 4000000
